algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.035,9600,8
MergeSort,random,10000,0.707,127254,11
MergeSort,random,100000,8.318,1639243,14
MergeSort,random,1000000,99.542,19886370,18
MergeSort,sorted,1000,0.011,4236,8
MergeSort,sorted,10000,0.152,59248,11
MergeSort,sorted,100000,1.922,744016,14
MergeSort,sorted,1000000,33.687,9071040,18
MergeSort,duplicates,1000,0.024,9218,8
MergeSort,duplicates,10000,0.399,121998,11
MergeSort,duplicates,100000,4.665,1561989,14
MergeSort,duplicates,1000000,55.796,18926322,18
QuickSort,random,1000,0.084,10978,7
QuickSort,random,10000,1.087,162626,10
QuickSort,random,100000,11.638,2043095,12
QuickSort,random,1000000,124.838,24706676,14
QuickSort,sorted,1000,0.042,12177,7
QuickSort,sorted,10000,0.594,164423,9
QuickSort,sorted,100000,6.663,2022895,12
QuickSort,sorted,1000000,68.786,25128413,14
QuickSort,duplicates,1000,0.017,3442,3
QuickSort,duplicates,10000,0.150,39127,3
QuickSort,duplicates,100000,1.561,309375,3
QuickSort,duplicates,1000000,16.640,3403134,3
QuickSelect,random,1000,0.011,3001,1
QuickSelect,random,10000,0.088,22544,1
QuickSelect,random,100000,0.847,195989,1
QuickSelect,random,1000000,11.669,3009657,1
QuickSelect,sorted,1000,0.007,4844,1
QuickSelect,sorted,10000,0.050,32580,1
QuickSelect,sorted,100000,0.678,458942,1
QuickSelect,sorted,1000000,5.266,4516376,1
QuickSelect,duplicates,1000,0.013,2097,1
QuickSelect,duplicates,10000,0.133,28080,1
QuickSelect,duplicates,100000,1.251,250581,1
QuickSelect,duplicates,1000000,10.939,2496936,1
DeterministicSelect,random,1000,0.032,8077,5
DeterministicSelect,random,10000,0.371,81901,6
DeterministicSelect,random,100000,3.674,860492,8
DeterministicSelect,random,1000000,34.474,8450427,9
DeterministicSelect,sorted,1000,0.011,6238,5
DeterministicSelect,sorted,10000,0.141,68030,6
DeterministicSelect,sorted,100000,1.732,709499,8
DeterministicSelect,sorted,1000000,16.995,7217916,9
DeterministicSelect,duplicates,1000,0.007,3125,5
DeterministicSelect,duplicates,10000,0.269,51490,6
DeterministicSelect,duplicates,100000,1.637,308834,8
DeterministicSelect,duplicates,1000000,14.635,3089688,9
